0x6bf  ڿ     ARABIC LETTER TCHEH WITH DOT ABOVE
0x6c0  ۀ     ARABIC LETTER HEH WITH YEH ABOVE
0x6c1  ہ     ARABIC LETTER HEH GOAL
0x6c2  ۂ     ARABIC LETTER HEH GOAL WITH HAMZA ABOVE
0x6c3  ۃ     ARABIC LETTER TEH MARBUTA GOAL
0x6c4  ۄ     ARABIC LETTER WAW WITH RING
0x6c5  ۅ     ARABIC LETTER KIRGHIZ OE
0x6c6  ۆ     ARABIC LETTER OE
0x6c7  ۇ     ARABIC LETTER U
0x6c8  ۈ     ARABIC LETTER YU
0x6c9  ۉ     ARABIC LETTER KIRGHIZ YU
0x6ca  ۊ     ARABIC LETTER WAW WITH TWO DOTS ABOVE
0x6cb  ۋ     ARABIC LETTER VE
0x6cc  ی     ARABIC LETTER FARSI YEH
0x6cd  ۍ     ARABIC LETTER YEH WITH TAIL
0x6ce  ێ     ARABIC LETTER YEH WITH SMALL V
0x6cf  ۏ     ARABIC LETTER WAW WITH DOT ABOVE
0x6d0  ې     ARABIC LETTER E
0x6d1  ۑ     ARABIC LETTER YEH WITH THREE DOTS BELOW
0x6d2  ے     ARABIC LETTER YEH BARREE
0x6d3  ۓ     ARABIC LETTER YEH BARREE WITH HAMZA ABOVE
0x6d4  ۔     ARABIC FULL STOP
0x6d5  ە     ARABIC LETTER AE
0x6d6  ۖ     ARABIC SMALL HIGH LIGATURE SAD WITH LAM WITH ALEF MAKSURA
0x6d7  ۗ     ARABIC SMALL HIGH LIGATURE QAF WITH LAM WITH ALEF MAKSURA
0x6d8  ۘ     ARABIC SMALL HIGH MEEM INITIAL FORM
0x6d9  ۙ     ARABIC SMALL HIGH LAM ALEF
0x6da  ۚ     ARABIC SMALL HIGH JEEM
0x6db  ۛ     ARABIC SMALL HIGH THREE DOTS
0x6dc  ۜ     ARABIC SMALL HIGH SEEN
0x6dd  ۝     ARABIC END OF AYAH
0x6de  ۞     ARABIC START OF RUB EL HIZB
0x6df  ۟     ARABIC SMALL HIGH ROUNDED ZERO
0x6e0  ۠     ARABIC SMALL HIGH UPRIGHT RECTANGULAR ZERO
